time
0.275817
0.271852
0.273333
0.268202
0.273003
0.275854
0.266651
0.265781
0.272896
0.268544
0.273750
0.265305
0.277182
0.266636
0.267037
0.267544
0.267415
0.273903
0.275373
0.269558
0.278388
