name,levels,threads,mean
2097152_0l_1h.csv,0,1,1.2721420476190477
2097152_0l_5h.csv,0,5,1.2446140952380953
2097152_0l_9h.csv,0,9,1.237872476190476
2097152_0l_13h.csv,0,13,1.2417826190476189
2097152_0l_17h.csv,0,17,1.2391134761904763
2097152_0l_21h.csv,0,21,1.2361240476190474
2097152_0l_25h.csv,0,25,1.239948523809524
2097152_0l_29h.csv,0,29,1.2384510952380952
2097152_0l_33h.csv,0,33,1.2349844761904762
2097152_0l_37h.csv,0,37,1.235992523809524
2097152_0l_41h.csv,0,41,1.240601619047619
2097152_1l_1h.csv,1,1,1.1289375714285714
2097152_1l_5h.csv,1,5,0.5984305714285715
2097152_1l_9h.csv,1,9,0.6122786666666667
2097152_1l_13h.csv,1,13,0.6026550476190475
2097152_1l_17h.csv,1,17,0.643858761904762
2097152_1l_21h.csv,1,21,0.6198453333333334
2097152_1l_25h.csv,1,25,0.6185392380952381
2097152_1l_29h.csv,1,29,0.6111575238095237
2097152_1l_33h.csv,1,33,0.6206837619047617
2097152_1l_37h.csv,1,37,0.6066619523809523
2097152_1l_41h.csv,1,41,0.6020828095238095
2097152_2l_1h.csv,2,1,1.0260791904761906
2097152_2l_5h.csv,2,5,0.29238261904761903
2097152_2l_9h.csv,2,9,0.2982215238095238
2097152_2l_13h.csv,2,13,0.29631614285714286
2097152_2l_17h.csv,2,17,0.29634004761904764
2097152_2l_21h.csv,2,21,0.29678295238095237
2097152_2l_25h.csv,2,25,0.30005585714285715
2097152_2l_29h.csv,2,29,0.29979500000000003
2097152_2l_33h.csv,2,33,0.29716538095238093
2097152_2l_37h.csv,2,37,0.29412714285714286
2097152_2l_41h.csv,2,41,0.2985866666666667
2097152_3l_1h.csv,3,1,0.9353119523809523
2097152_3l_5h.csv,3,5,0.28121561904761905
2097152_3l_9h.csv,3,9,0.20802299999999999
2097152_3l_13h.csv,3,13,0.20637642857142854
2097152_3l_17h.csv,3,17,0.2037642857142857
2097152_3l_21h.csv,3,21,0.2065908571428571
2097152_3l_25h.csv,3,25,0.20635790476190477
2097152_3l_29h.csv,3,29,0.2091932380952381
2097152_3l_33h.csv,3,33,0.20511190476190475
2097152_3l_37h.csv,3,37,0.20608833333333332
2097152_3l_41h.csv,3,41,0.2074538571428571
2097152_4l_1h.csv,4,1,0.8570894761904763
2097152_4l_5h.csv,4,5,0.2698598571428571
2097152_4l_9h.csv,4,9,0.22147752380952382
2097152_4l_13h.csv,4,13,0.21390099999999998
2097152_4l_17h.csv,4,17,0.2014282380952381
2097152_4l_21h.csv,4,21,0.1967529523809524
2097152_4l_25h.csv,4,25,0.1986967619047619
2097152_4l_29h.csv,4,29,0.19846790476190476
2097152_4l_33h.csv,4,33,0.19928123809523812
2097152_4l_37h.csv,4,37,0.20080276190476193
2097152_4l_41h.csv,4,41,0.20450566666666667
2097152_5l_1h.csv,5,1,0.820140476190476
2097152_5l_5h.csv,5,5,0.2545571428571428
2097152_5l_9h.csv,5,9,0.2059162380952381
2097152_5l_13h.csv,5,13,0.19493895238095238
2097152_5l_17h.csv,5,17,0.19285295238095237
2097152_5l_21h.csv,5,21,0.19025490476190476
2097152_5l_25h.csv,5,25,0.19041742857142854
2097152_5l_29h.csv,5,29,0.19021985714285713
2097152_5l_33h.csv,5,33,0.18775185714285714
2097152_5l_37h.csv,5,37,0.18910633333333335
2097152_5l_41h.csv,5,41,0.18750909523809525
2097152_6l_1h.csv,6,1,0.7647415714285715
2097152_6l_5h.csv,6,5,0.23757047619047622
2097152_6l_9h.csv,6,9,0.1980239523809524
2097152_6l_13h.csv,6,13,0.18592499999999998
2097152_6l_17h.csv,6,17,0.1816114761904762
2097152_6l_21h.csv,6,21,0.18094052380952383
2097152_6l_25h.csv,6,25,0.1794832857142857
2097152_6l_29h.csv,6,29,0.1798839047619048
2097152_6l_33h.csv,6,33,0.17988647619047618
2097152_6l_37h.csv,6,37,0.18116585714285716
2097152_6l_41h.csv,6,41,0.18160447619047618
2097152_7l_1h.csv,7,1,0.7292914761904762
2097152_7l_5h.csv,7,5,0.2312644761904762
2097152_7l_9h.csv,7,9,0.18963695238095235
2097152_7l_13h.csv,7,13,0.17828761904761906
2097152_7l_17h.csv,7,17,0.17555404761904764
2097152_7l_21h.csv,7,21,0.1747762380952381
2097152_7l_25h.csv,7,25,0.17398209523809524
2097152_7l_29h.csv,7,29,0.1735537619047619
2097152_7l_33h.csv,7,33,0.1727162857142857
2097152_7l_37h.csv,7,37,0.17307195238095238
2097152_7l_41h.csv,7,41,0.17379361904761903
2097152_8l_1h.csv,8,1,0.6988548571428572
2097152_8l_5h.csv,8,5,0.22414828571428572
2097152_8l_9h.csv,8,9,0.17916523809523807
2097152_8l_13h.csv,8,13,0.17045733333333332
2097152_8l_17h.csv,8,17,0.1686244285714286
2097152_8l_21h.csv,8,21,0.16683890476190474
2097152_8l_25h.csv,8,25,0.16581680952380956
2097152_8l_29h.csv,8,29,0.16568395238095238
2097152_8l_33h.csv,8,33,0.16640604761904762
2097152_8l_37h.csv,8,37,0.16532642857142857
2097152_8l_41h.csv,8,41,0.1654160476190476
2097152_9l_1h.csv,9,1,0.6807134285714286
2097152_9l_5h.csv,9,5,0.21921842857142856
2097152_9l_9h.csv,9,9,0.17589390476190475
2097152_9l_13h.csv,9,13,0.16569914285714282
2097152_9l_17h.csv,9,17,0.1622082380952381
2097152_9l_21h.csv,9,21,0.16217109523809523
2097152_9l_25h.csv,9,25,0.16238976190476193
2097152_9l_29h.csv,9,29,0.16164109523809525
2097152_9l_33h.csv,9,33,0.16119585714285714
2097152_9l_37h.csv,9,37,0.16055099999999997
2097152_9l_41h.csv,9,41,0.16033038095238097
2097152_10l_1h.csv,10,1,0.6657527619047618
2097152_10l_5h.csv,10,5,0.21131509523809525
2097152_10l_9h.csv,10,9,0.1723012857142857
2097152_10l_13h.csv,10,13,0.1620953333333333
2097152_10l_17h.csv,10,17,0.1584355238095238
2097152_10l_21h.csv,10,21,0.15739680952380955
2097152_10l_25h.csv,10,25,0.15791085714285713
2097152_10l_29h.csv,10,29,0.15748595238095237
2097152_10l_33h.csv,10,33,0.15692890476190474
2097152_10l_37h.csv,10,37,0.15816909523809525
2097152_10l_41h.csv,10,41,0.15950780952380952
2097152_11l_1h.csv,11,1,0.6529100952380953
2097152_11l_5h.csv,11,5,0.20664766666666667
2097152_11l_9h.csv,11,9,0.16547466666666666
2097152_11l_13h.csv,11,13,0.15926861904761905
2097152_11l_17h.csv,11,17,0.15660685714285713
2097152_11l_21h.csv,11,21,0.15502580952380954
2097152_11l_25h.csv,11,25,0.15489861904761906
2097152_11l_29h.csv,11,29,0.15418080952380955
2097152_11l_33h.csv,11,33,0.15507723809523813
2097152_11l_37h.csv,11,37,0.1539834761904762
2097152_11l_41h.csv,11,41,0.15405304761904764
2097152_12l_1h.csv,12,1,0.7337473333333333
2097152_12l_5h.csv,12,5,0.20745042857142856
2097152_12l_9h.csv,12,9,0.1657502380952381
2097152_12l_13h.csv,12,13,0.15678033333333335
2097152_12l_17h.csv,12,17,0.1538999523809524
2097152_12l_21h.csv,12,21,0.15316085714285713
2097152_12l_25h.csv,12,25,0.153193
2097152_12l_29h.csv,12,29,0.15164880952380955
2097152_12l_33h.csv,12,33,0.15242595238095236
2097152_12l_37h.csv,12,37,0.1513658571428572
2097152_12l_41h.csv,12,41,0.15147909523809525
2097152_13l_1h.csv,13,1,0.6153940476190476
2097152_13l_5h.csv,13,5,0.19779385714285716
2097152_13l_9h.csv,13,9,0.16237514285714286
2097152_13l_13h.csv,13,13,0.15511509523809525
2097152_13l_17h.csv,13,17,0.15168414285714288
2097152_13l_21h.csv,13,21,0.15003614285714287
