threads,time
1,10.721022
1,10.643568
1,10.632227
1,10.636022
1,10.609437
1,10.648435000000001
1,10.644972000000001
1,10.648157000000001
1,10.794027
1,10.633859
1,10.642808
1,10.714798
1,10.703948
1,10.713918
1,10.634466999999999
1,10.620398
1,10.634889
1,10.646937
1,10.632105000000001
1,10.581761
1,10.623732
1,10.614857
1,10.605746
1,10.65019
1,10.633217
1,10.643042999999999
1,10.622733
1,10.570657
1,10.741817999999999
1,10.929343
1,10.828191
5,3.039381
5,3.0636919999999996
5,2.970195
5,2.962634
5,2.951375
5,2.949877
5,2.926963
5,2.925933
5,2.9463630000000003
5,3.068706
5,2.9480310000000003
5,2.945145
5,2.921405
5,2.924022
5,2.952065
5,2.951375
5,2.922409
5,2.947103
5,2.923279
5,2.937665
5,2.930966
5,2.951388
5,3.030775
5,2.998365
5,2.911841
5,2.926176
5,2.916872
5,2.915871
5,2.913164
5,2.912388
5,2.902271
10,2.954875
10,2.939438
10,2.959483
10,2.9639830000000003
10,2.955967
10,2.9546259999999998
10,2.920066
10,2.933825
10,2.9483490000000003
10,2.945868
10,2.942599
10,2.9263369999999997
10,2.912563
10,2.936643
10,2.9142799999999998
10,2.909586
10,2.95543
10,2.973984
10,2.977506
10,2.9466069999999998
10,2.935689
10,2.926266
10,2.9700759999999997
10,2.945995
10,2.950014
10,2.940917
10,2.971407
10,2.960328
10,2.9732220000000003
10,2.970701
10,2.94718
15,2.9859869999999997
15,2.954782
15,3.568392
15,2.924387
15,2.957059
15,2.950786
15,2.926437
15,2.93622
15,2.940116
15,2.923648
15,3.054084
15,2.910886
15,2.917082
15,3.101253
15,2.909079
15,2.9267939999999997
15,2.966088
15,2.890934
15,3.0597939999999997
15,2.9272669999999996
15,3.049896
15,3.076382
15,2.910228
15,3.08332
15,2.947124
15,2.948126
15,2.9562009999999996
15,3.05229
15,2.950811
15,2.94746
15,2.97303
15,2.9859869999999997
15,2.954782
15,3.568392
15,2.924387
15,2.957059
15,2.950786
15,2.926437
15,2.93622
15,2.940116
15,2.923648
15,3.054084
15,2.910886
15,2.917082
15,3.101253
15,2.909079
15,2.9267939999999997
15,2.966088
15,2.890934
15,3.0597939999999997
15,2.9272669999999996
15,3.049896
15,3.076382
15,2.910228
15,3.08332
15,2.947124
15,2.948126
15,2.9562009999999996
15,3.05229
15,2.950811
15,2.94746
15,2.97303
threads,time
