time
0.201757
0.204502
0.204402
0.203278
0.199878
0.201563
0.206442
0.200567
0.206934
0.203185
0.208206
0.203614
0.210942
0.211326
0.208679
0.208378
0.210413
0.211687
0.207072
0.206982
0.213709
