time
0.001863
0.000926
0.000062
0.000085
0.000369
0.002298
0.006122
0.000999
0.000364
0.000097
0.000080
0.000098
0.000083
0.000077
0.000085
0.000081
0.000084
0.000078
0.000096
0.000082
0.000093
